name,"Country of Origin","Unit of Quantity",Product description,product_code
"Aggr. Full Radius Resector, sterile, 6x",US,PAK,"Aggressive Full Radius Resector, for single use, sterile, diameter 2.5 mm, working length 70 mm, package of 6, for use with UNIDRIVE� S III ARTHRO SCB, color code: blue",28206DAS
Aggr. Full Radius Resector,US,pc,"Aggressive Full Radius Resector reusable, sterilizable, diameter 3.5 mm, working length 70 mm for use with UNIDRIVE� S III ARTHRO, color code: blue",28206DB
"Aggr. Full Radius Resector, sterile, 6x",US,PAK,"Aggressive Full Radius Resector for single use, sterile, diameter 3.5 mm, working length 70 mm, package of 6 for use with UNIDRIVE� S III ARTHRO, color code: blue",28206DBS
"Small Joint Burr, sterile, 6x",US,PAK,"Small Joint Burr for single use, sterile, diameter 2.5 mm, working length 70 mm, package of 6, for use with UNIDRIVE� S III ARTHRO SCB, color code: orange",28206FAS
"Small Joint Burr, sterile, 6x",US,PAK,"Small Joint Burr for single use, sterile, diameter 3.5 mm, working length 70 mm, package of 6 for use with UNIDRIVE� S III ARTHRO, color code: orange",28206FBS
Saw Blade,DE,pc,"Saw Blade, blade width 10 mm, blade thickness 0.4 mm, cutting thickness 0.6 mm, working length 50 mm, unsterile, for single use, for use with Multifunction Handpiece SL 28721036 in conjunction with UNIDRIVE� S III ARTHRO SCB",28207SLA
Saw Blade,DE,pc,"Saw Blade, blade width 14 mm, blade thickness 0.4 mm, cutting thickness 0.6 mm, working length 50 mm, unsterile, for single use, for use with Multifunction Handpiece SL 28721036 in conjunction with UNIDRIVE� S III ARTHRO SCB",28207SLB
Saw Blade with Stopper,DE,pc,"Saw Blade, blade width 10 mm, blade thickness 0.4 mm, cutting thickness 0.6 mm, with stopper at 15 mm, working length 25 mm, unsterile, for single use, for use with Multifunction Handpiece SL 28721036 in conjunction with UNIDRIVE� S III ARTHRO SCB",28207SLC
Saw Blade with Stopper,DE,pc,"Saw Blade, blade width 6 mm, blade thickness 0.4 mm, cutting thickness 0.6 mm, with stopper at 15 mm, working length 25 mm, unsterile, for single use, for use with Multifunction Handpiece SL 28721036 in conjunction with UNIDRIVE� S III ARTHRO SCB",28207SLD
Saw Blade with Stopper,DE,pc,"Saw Blade, blade width 8 mm, blade thickness 0.4 mm, cutting thickness 0.6 mm, with stopper at 15 mm, working length 25 mm, unsterile, for single use, for use with Multifunction Handpiece SL 28721036 in conjunction with UNIDRIVE� S III ARTHRO SCB",28207SLE
Saw Blade,DE,pc,"Saw Blade, blade width 12 mm, blade thickness 0.4 mm, cutting thickness 0.6 mm, working length 22 mm, unsterile, for single use, for use with Multifunction Handpiece SL 28721036 in conjunction with UNIDRIVE� S III ARTHRO SCB",28207SLF
Saw Blade,DE,pc,"Saw Blade, blade width 6 mm, blade thickness 0.4 mm, cutting thickness 0.6 mm, working length 31 mm, unsterile, for single use, for use with Multifunction Handpiece SL 28721036 in conjunction with UNIDRIVE� S III ARTHRO SCB",28207SLG
Saw Blade,DE,pc,"Saw Blade, blade width 10 mm, blade thickness 0.4 mm, cutting thickness 0.6 mm, working length 31 mm, unsterile, for single use, for use with Multifunction Handpiece SL 28721036 in conjunction with UNIDRIVE� S III ARTHRO SCB",28207SLH
"HOPKINS� Telescope 30�, 2.7 mm, 11 cm",CH,pc,"HOPKINS� Forward-Oblique Telescope 30�, diameter 2.7 mm, length 11 cm, autoclavable, fiber optic light transmission incorporated, color code: red",28208BA
"Aggressive Cutter, sterile, 6x",US,PAK,"Aggressive Cutter, for single use, sterile, diameter 4.5 mm, working length 180 mm, package of 6, color code: green, for use with UNIDRIVE� S III ARTHRO,",28208BKS
"Aggr. Full Radius Resector, sterile, 6x",US,PAK,"Aggressive Full Radius Resector for single use, sterile, diameter 4.5 mm, working length 180 mm, package of 6 for use with UNIDRIVE� S III ARTHRO, color code: blue",28208DCS
"C. Aggr. Full Radius Res., sterile, 6x",US,PAK,"Curved Aggressive Full Radius Resector, for single use, sterile, diameter 4.5 mm, working length 180 mm, package of 6, for use with UNIDRIVE� S III ARTHRO, color code: light green",28208EHS
"Semi Hooded Barrel Burr, sterile, 6x",US,PAK,"Semi Hooded Barrel Burr, for single use, sterile, diameter 5.5 mm, working length 180 mm, package of 6, color code: pink, for use with UNIDRIVE� S III ARTHRO,",28208IDS
"High-Flow Arthroscope Sheath, 6.5/12",DE,pc,"High-Flow Arthroscope Sheath with traditional coupling mechanism, diameter 6.5 mm, working length 12 cm, two stopcocks, rotatable for use with HOPKINS� telescopes 0�, 30�, 70� and Obturators 28126 BC/BT/BS, 28134 O, color code: green-red-yellow",28229DR
"Mallet, length 17 cm",DE,pc,"Mallet ergonomic handle, two plane faces, length 17 cm color code: blue",28270H
"Probe, 2 mm, 18 cm",DE,pc,"Probe graduated, length of hook 2 mm, diameter 1.5 mm, working length 18 cm",28270T
"Changing Rod, length 35 cm",DE,pc,Changing Rod length 35 cm for use with arthroscope sheaths with inner diameter 4 mm,28270W
Armrest,DE,pc,"Armrest, rotatable, for use with mechanical holding systems with KS-Lock",28272AR
"Clamping Cylinder, folding, 10 mm",DE,pc,"Clamping Cylinder, folding, for flexible mounting of 10 mm telescopes to telescope sheath, autoclavable. The clamping cylinder allows vertical movement and rotation of the telescope. For use with Clamping Jaw 28272 UGN, 28272 UGK and POINT SETTER� universal adaptor 10 - 15 mm.",28272CN
Mobile Stand for 28272 GS,DE,pc,"Mobile Stand, for use with VERSACRANE Holding Arm 28272 GS",28272GM
"VERSACRANE Holding Arm, low",DE,pc,"VERSACRANE Holding Arm, low, for use in the lithotomy position, spring-supported, with quick release coupling KSLOCK. The VERSACRANE holding arm is intended for use with VITOM� scopes/exoscopes. WARNING: The VERSACRANE holding arm cannot be used with rigid endoscopes! for use with Mobile Stand 28272 GM and KARL STORZ clamping jaws.",28272GS
"Articulated Stand, straight",CH,pc,"Articulated Stand, reinforced version, only, straight, with one mechanical central clamp for all five joint functions, height 30 cm, operating range 37 cm, with fastener: KSLock (female)",28272HA
"Articulated Stand, L-shaped",CH,pc,"Articulated Stand, reinforced version, only, L-shaped, with one mechanical central clamp for all five joint functions, height 48 cm, operating range 52 cm, with fastener: KSLock (female)",28272HB
"Articulated Stand, L-shaped, long",CH,pc,"Articulated Stand, reinforced version, only, L-shaped, espacially long operating range, with one mechanical central clamp for all five joint functions, heigth 48 cm, operating range 66 cm, with fastener: KSLock (female)",28272HC
"Articulated Stand, U-shaped",CH,pc,"Articulated Stand, reinforced version, only, U-shaped, with one mechanical central clamp for all five joint functions, with fastener: KSLock (female)",28272HD
Mobile OR-Rail,DE,pc,"Mobile OR-Rail, for installation on tables in veterinary and laboratory settings or experimental surgery. Not for use in human medicine! consisting of: 1 retaining plate, 2x stop blocks, 2x C-clamps",28272MR
"Clamping Jaw for POINT SETTER�, large",DE,pc,"Clamping Jaw for POINT SETTER�, large, clamping range 16.5 up to 23 mm, with dovetail connector for POINT SETTER� holding system, for use with all square-headed KARL STORZ telescopes",28272PSG
"Clamping Jaw for POINT SETTER�, small",DE,pc,"Clamping Jaw for POINT SETTER�, small, clamping range 4.8 up to 12.5 mm, with dovetail connector for POINT SETTER� holding system, for use with instrument and telescope sheaths",28272PSK
"ARTIP BASE Battery, rechargeable",DE,pc,"ARTIP BASE Battery, rechargeable rated voltage 14.4 V, rated capacity 2500 mAh, cell type 4S Li-ion, 18650, with LED status indicator, for use with Base Unit 28272 TM, Charging unit 28272 TC",28272TA
Charging Unit,VN,pc,"ARTIP (TM) BASE Charging Unit for charging and storing max. of two rechargeable batteries, including connecting cable, for use with rechargeable battery 28272 TA",28272TC
"Holding element, long",DE,pc,"ARTIP BASE holing element, long, distal, sterilizable holding and control element with KSLOCK interface, reach 710 mm, for use with Driver Unit 28272 TM and KSLOCK-adaptor",28272TL
"ARTip BASE, Base Unit",DE,pc,"ARTIP BASE Unit, for use with 28272TL Holding arm long, 28272TS Holding arm short, 28272TA rechargeable Battery, 28272TC Charging unit",28272TM
"ARTIP BASE, Holding element, short",DE,pc,"ARTIP BASE, holding element short, sterilizable holding and control element with KSLOCK interface, reach 550 mm, for use with ARTIP BASE unit 28272 TM and KSLOCK Adapter",28272TS
POINT SETTER� KSLOCK Adaptor,DE,pc,"POINT SETTER� KSLOCK Adaptor, for POINT SETTER� holding system, for connecting KARL STORZ clamping jaws and accessories",28272UA
Clamping jaw for video- and fiberscopes,DE,pc,"Clamping jaw for video- and fiberscopes, with quick release coupling KS-Lock (male), for use with rigid and flexible Videoscopes or Fiberscopes and KARL STORZ Holding Systems with quick release coupling KSLOCK (male)",28272UFN
Clamping jaw for video- and fiberscopes,DE,pc,"Clamping jaw for video- and fiberscopes, with dovetail Interface, for use with rigid and flexible Videoscopes or Fiberscopes and POINT SETTER holding system",28272UFP
"Clamping Jaw, with ball joint, large",DE,pc,"Clamping Jaw, with ball joint, large, clamping range 16.5 to 23 mm, with quick release coupling KSLOCK (male), for use with all square-headed KARL STORZ HOPKINS� telescopes",28272UGK
"Clamping Jaw, big",DE,pc,"Clamping Jaw, metal, for use with all square headed KARL STORZ HOPKINS Telescopes, clamping range 16.5 up to 23 mm, with fastener: KSLock (male)",28272UGN
"Clamping Jaw, with ball joint, small",DE,pc,"Clamping Jaw, with ball joint, small, metal, clamping range 4.8 to 12.5 mm, with quick release coupling KSLOCK (male), for use with instrument and telescope sheaths",28272UKK
"Clamping Jaw, small",DE,pc,"Clamping Jaw, metal, for use with instrument and telescope sheaths, clamping range 4.8 up to 12.5 mm, with fastener: KSLock (male)",28272UKN
"Clamping Jaw, universal",CH,pc,"Clamping Jaw, universal, clamping range 0 up to 18 mm, with fastener: KSLock (male)",28272UL
VITOM 3D clamping jaw with ball joint,DE,pc,"VITOM 3D clamping jaw, with ball joint and quick release coupling KS-Lock (male), for use with VITOM 3D and KARL STORZ Holding systems with KS-Lock interface",28272VTK
VITOM 3D clamping jaw for POINT SETTER,DE,pc,"VITOM 3D clamping jaw for POINT SETTER with dovetail interface, for use with VITOM 3D and POINT SETTER Holding system",28272VTP
"HOPKINS� Telescope 30�, 2.4 mm, 10 cm",DE,pc,"HOPKINS� Wide Angle Forward-Oblique Telescope 30�, diameter 2.4 mm, working length 10 cm, autoclavable, fiber optic light transmission incorporated, color code: red",28300BA
"Obturator, sharp",DE,pc,"Obturator, sharp, for use with Arthroscope Sheaths 28303 DS/BS",28302BU
"Obturator, blunt",DE,pc,Obturator blunt for use with Arthroscope Sheaths 28303 DS/BS,28302BV
"Knife, 7.5 cm",DE,pc,"Knife, bayonet-shaped Working length: 7.5 cm.",28302M
"Probe, 1 mm, 7.5 cm",DE,pc,"Probe graduated, length of hook 1 mm, diameter 1 mm, working length 7.5 cm",28302S
"Grasping Forceps, 10 cm",DE,pc,Grasping Forceps. Working length: 10 cm.,28302U
Changing Rod,DE,pc,"Changing Rod, diameter 2 mm, length 15 cm, for use with Arthroscope Sheaths 28303 CR, 28303 DS",28302W
Trocar,DE,pc,"Trocar, diameter 2.5 mm, length 3.5 cm, for use with instruments 28302",28302X
High-Flow Arthroscope Sheath,DE,pc,"High-Flow Arthroscope Sheath with snap-in coupling mechanism, diameter 3.2 mm, working length 8.5 cm, one stopcock, fixed for use with HOPKINS� Telescopes 30� 28300 BA and Obturators 28302 BU/BV",28303BS
High-Flow Arthroscope Sheath,DE,pc,"High-Flow Arthroscope Sheath with snap-in coupling mechanism, diameter 3.5 mm, working length 6.5 cm, two stopcocks, rotatable for use with HOPKINS� Telescopes 30� 28300 BA and Obturators 28302 BU/BV",28303DS
HOPKINS� Forward-Oblique Telescope 30�,DE,pc,"HOPKINS� Forward-Oblique Telescope 30�, diameter 1.9 mm, working length 6.5 cm, autoclavable, fiber optic light transmission incorporated, color code: red",28305BA
High-Flow Arthroscope Sheath,DE,pc,"High-Flow Arthroscope Sheath, with standard coupling mechanism, diameter 2.5 mm, working length 4 cm, one stopcock, fixed, color code: red, for use with HOPKINS� Telescope 30 28305 BA and Obturators 28306 BS/BT,",28306BN
"Obturator, sharp",DE,pc,Obturator sharp for use with Arthroscope Sheaths 28306 BN/S,28306BS
"Obturator, blunt",DE,pc,Obturator blunt for use with Arthroscope Sheaths 28306 BN/S,28306BT
Wrist Arthroscopy Set,DE,pc,"Wrist Arthroscopy Set, complete, consisting of: 28300 BA HOPKINS� Wide Angle Forward-Oblique Telescope 30� 28303 DS High-Flow Arthroscope Sheath 28302 BV Obturator, blunt 28305 BA HOPKINS� Forward-Oblique Telescope 30� 28306 BN High-Flow Arthroscope Sheath 28306 BT Obturator, blunt 28145 SN Palpation Hook 28302 S Palpation Hook 28572 NJ Suture Forceps 28572 AD SILCUT� PRO Punch 28572 O SILCUT� PRO Oval Biter 28572 ADL SILCUT� PRO Punch 28572 ADR SILCUT� PRO Stanze 221150 HARTMANN Forceps 517000 MASING Needle Holder 215010 Retractor",28320
Accessory Set Hand Arthroscopy,DE,pc,"Accessory Set Hand Arthroscopy, complete, consisting of: 791618 Ligature Scissors 792005 MAYO Scissors 791803 JAMESON Scissors 200400 BEYER Rongeur 516015 Needle Holder 2x 499003 Hook 2x 499207 JOSEPH Double Hook 2x 535312 Artery Forceps 535112 HALSTEAD ""Mosquito"" Artery Forceps 474006 Double Elevator 2x 505400 Retractor 533116 ADSON Tissue Forceps 533022 ADSON Dressing Forceps 2x 208000 Surgical Handle 2x 796513 Towel Forceps 810810 Medicine Cup",28330
"ARTHROPUMP� Power, set",CH,pc,"ARTHROPUMP� Power, Set, consisting of: 28340720-1 ARTHROPUMP� Power, power supply 100 - 240 VAC, 50/60 Hz 28340770 Connecting Cable, to UNIDRIVE� S III ARTHRO SCB and POWERSHAVER SL SCB 20090170 Connecting Cable, length 100 cm 20016834 Four-Pedal Footswitch 031328-03 Tubing Set Irrigation, sterile, for single use, package of 3 031228-03 Tubing Set Suction, sterile, for single use, package of 3",28340701-1
"ARTHROPUMP� Power, Set, Spine",CH,pc,"ARTHROPUMP� Power, Set, spine consisting of: 28340720-1 ARTHROPUMP� Power, power supply 100 - 240 VAC, 50/60 Hz 20090170 SCB Connecting Cable, length 100 cm 031328-03 Tubing Set Irrigation, sterile, for single use, package of 3 031228-03 Tubing Set Suction, sterile, for single use, package of 3",28340702-1
ARTHROPUMP� Power,CH,pc,"ARTHROPUMP� Power, suction and irrigation pump for arthroscopy, with integrated SCB module, incl. mains cord, power supply 100 - 240 VAC, 50/60 Hz, System requirements: SCB control NEO system with installed SCB control NEO Software Release 20090001-43, or higher",28340720-1
Connecting Cable,DE,pc,"footswitch signal from ARTHROPUMP� Power to UNIDRIVE� S III ARTHRO SCB, length 200 cm C�ble de raccordement, pour",28340770
Extension Cable,DE,pc,"Extension Cable, between ARTHROPUMP� Power and Four-Pedal Footswitch 20016834",28340771
Cholangiography Fixation Clamp,DE,pc,"OLSEN Cholangiography Fixation Clamp, with channel for catheter 6 Fr., length 27 cm",28378CH
Guide Tube for Cholangiocatheter,DE,pc,Guide Tube for Cholangiocatheter,28378GK
MINAR� Set,DE,pc,"MINAR�, Set minimally invasive AC joint repair consisting of: 28379 SA AC Joint Aimer 28379 SB Bullet 28379 SC FLIPPTACK� Inserter 28379 SD FLIPPTACK� Inserter Rod 28379 SE Suture Awl 28379 SF Repositioner",28379S
"Target Guide, AC",DE,pc,"Target Guide, for AC joint reconstruction, for use with Bullet 28379 SB",28379SA
Bullet,DE,pc,"Bullet, working length 9.5 cm, for use with Aimer 28379 SA",28379SB
FLIPPTACK Inserter,DE,pc,"FLIPPTACK Inserter, working length 19.5 cm, for use with FLIPPTACK Inserter Rod 28379 SD",28379SC
FLIPPTACK Inserter Rod,DE,pc,"FLIPPTACK Inserter Rod, working length 24.5 cm, for use with FLIPPTACK Inserter 28379 SC",28379SD
Suture Awl,DE,pc,"Suture Awl, working length 15 cm",28379SE
AC Joint Repositioner,DE,pc,"Repositioner, for AC joint reconstruction, working length 20 cm",28379SF
SILCUT� PRO Punch,DE,pc,"SILCUT� PRO Punch, through-cutting, cross-toothed, cutting width 3.4 mm, straight jaws, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571AB
SILCUT� PRO Punch,DE,pc,"SILCUT� PRO Punch, through-cutting, cross-toothed, cutting width 2.7 mm, straight jaws, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571AC
SILGRASP� PRO Alligator Grasping Forceps,DE,pc,"SILGRASP� PRO Alligator Grasping Forceps, straight jaws, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571AG
SILCUT� PRO Punch,DE,pc,"SILCUT� PRO Punch, through-cutting, cross-toothed, cutting width 3.4 mm, jaws curved, 15� upwards, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571BB
SILCUT� PRO Upbiter,DE,pc,"SILCUT� PRO Upbiter, through-cutting, cross-toothed, cutting width 3.4 mm, jaws curved, 15� upwards, sheath diameter 3.5 mm, curved 15� to left and 10� curved upwards, handle with cleaning connector, working length 12 cm",28571BBL
SILCUT� PRO Upbiter,DE,pc,"SILCUT� PRO Upbiter, through-cutting, cross-toothed, cutting width 3.4 mm, jaws curved, 15� upwards, sheath diameter 3.5 mm, curved 15� to right and 10� curved upwards, handle with cleaning connector, working length 12 cm",28571BBR
SILCUT� PRO Punch,DE,pc,"SILCUT� PRO Punch, through-cutting, cross-toothed, cutting width 2.7 mm, jaws curved, 15� upwards, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571BC
SILGRASP�PRO Cartilage Grasping Forceps,DE,pc,"SILGRASP� PRO Cartilage and Biopsy Grasping Forceps, spoon-shaped jaws, straight jaws, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571CG
SILGRASP� PRO Cartilage Grasping Forceps,DE,pc,"SILGRASP� PRO Cartilage and Biopsy Grasping Forceps, spoon-shaped jaws, jaws curved, 30� upwards, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571CGU
SILCUT� PRO Side Punch,DE,pc,"SILCUT� PRO Side Punch, through-cutting, with circumferential teeth, cutting width 4.3 mm, angled jaws, curved to left 45�, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571CL
SILCUT� PRO Side Punch,DE,pc,"SILCUT� PRO Side Punch, through-cutting, with circumferential teeth, cutting width 4.3 mm, angled jaws, 15� upwards, left 45�, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571CLU
SILCUT� PRO Side Punch,DE,pc,"SILCUT� PRO Side Punch, through-cutting, with circumferential teeth, cutting width 4.3 mm, angled jaws, curved to right 45�, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571CR
SILCUT� PRO Side Punch,DE,pc,"SILCUT� PRO Side Punch, through-cutting, with circumferential teeth, cutting width 4.3 mm, angled jaws, 15� upwards, right 45�, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571CRU
SILCUT� PRO Giga Punch,DE,pc,"SILCUT� PRO Giga Punch, through-cutting, with circumferential teeth, cutting width 5.8 mm, straight jaws, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571E
SILCUT� PRO Giga Punch,DE,pc,"SILCUT� PRO Giga Punch, through-cutting, with circumferential teeth, cutting width 5.8 mm, curved jaws, 15� upwards, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571EU
SILGRASP� PRO Foreign Body Grasping Fcps,DE,pc,"SILGRASP� PRO Foreign Body Grasping Forceps, aggressive, straight jaws, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571FG
SILGRASP� PRO Grasping Forceps,DE,pc,"SILGRASP� PRO Grasping Forceps, spoon-shaped jaws, serrated, straight jaws, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571G
SILGRASP� PRO Grasping Forceps,DE,pc,"SILGRASP� PRO Grasping Forceps, spoon-shaped jaws, serrated, jaws curved, 30� upwards, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571GU
"Set of LUER Caps, silicone, pkg. of 10",DE,PAK,"Set of LUER Caps, silicone, reusable, unsterile, package of 10, for use with SilCut� and SilCut� 1 punches and forceps",28571LK
SILCUT� PRO Oval Biter,DE,pc,"SILCUT� PRO Oval Biter, through-cutting, cross-toothed, cutting width 4.1 mm, straight jaws, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571O
SILCUT� PRO Oval Upbiter,DE,pc,"SILCUT� PRO Oval Upbiter, through-cutting, cross-toothed, cutting width 4.1 mm, jaws curved, 15� upwards, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571OA
SILCUT� PRO Oval Upbiter,DE,pc,"SILCUT� PRO Oval Upbiter, through-cutting, with circumferential teeth, cutting width 4.1 mm, curved jaws, 15� upwards, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571OAC
SILCUT� PRO Oval Biter,DE,pc,"SILCUT� PRO Oval Biter, through-cutting, with circumferential teeth, cutting width 4.1 mm, straight jaws, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571OC
SILCUT� PRO Oval Downbiter,DE,pc,"SILCUT� PRO Oval Downbiter, through-cutting, with circumferential teeth, cutting width 4.1 mm, curved jaws, 15� downwards, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571ODC
SILCUT� PRO Square Punch,DE,pc,"SILCUT� PRO Square Punch, through-cutting, with circumferential teeth, cutting width 5 mm, rhombic jaws, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571S
SILCUT� PRO Scissors,DE,pc,"SILCUT� PRO Scissors, straight jaws, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 14 cm",28571SP
SILCUT� PRO Square Punch,DE,pc,"SILCUT� PRO Square Punch, through-cutting, with circumferential teeth, cutting width 5 mm, rhombic jaws, 15� upwards, sheath diameter 3.5 mm, straight, handle with cleaning connector, working length 12 cm",28571SU
SILCUT� PRO Punch,DE,pc,"SILCUT� PRO Punch, through-cutting, cross-toothed, cutting width 2 mm, straight jaws, sheath diameter 2.5 mm, straight, handle with cleaning connector, working length 8.5 cm",28572AD
SILCUT� PRO Punch,DE,pc,"SILCUT� PRO Punch, through-cutting, cross-toothed, cutting width 2 mm, jaws curved to left 45�, sheath diameter 2.5 mm, straight, handle with cleaning connector, working length 8.5 cm",28572ADL
SILCUT� PRO Punch,DE,pc,"SILCUT� PRO Punch, through-cutting, cross-toothed, cutting width 2 mm, jaws curved to right 45�, sheath diameter 2.5 mm, straight, handle with cleaning connector, working length 8.5 cm",28572ADR
SILCUT� PRO Punch,DE,pc,"SILCUT� PRO Punch, through-cutting, cross-toothed, cutting width 1 mm, straight jaws, sheath diameter 2.5 mm, straight, handle with cleaning connector, working length 8.5 cm",28572AE
SILGRASP� PRO Alligator Grasping Forceps,DE,pc,"SILGRASP� PRO Alligator Grasping Forceps, serrated, straight jaws, sheath diameter 2.8 mm, straight, handle with cleaning connector, working length 8.5 cm",28572AG
SILGRASP� PRO Cartilage Grasping Forceps,DE,pc,"SILGRASP� PRO Cartilage Grasping Forceps, spoon-shaped jaws, straight jaws, sheath diameter 2.8 mm, straight, handle with cleaning connector, working length 8.5 cm",28572CG
SILGRASP� PRO Cartilage Grasping Forceps,DE,pc,"SILGRASP� PRO Cartilage Grasping Forceps, spoon-shaped jaws, jaws curved, 30� upwards, sheath diameter 2.8 mm, straight, handle with cleaning connector, working length 8.5 cm",28572CGU
SILGRASP� PRO Grasping Forceps,DE,pc,"SILGRASP� PRO Grasping Forceps, spoon-shaped jaws, serrated, straight jaws, sheath diameter 2.8 mm, straight, handle with cleaning connector, working length 8.5 cm",28572G
SILGRASP� PRO Grasping Forceps,DE,pc,"SILGRASP� PRO Grasping Forceps, spoon-shaped jaws, serrated, jaws curved, 30� upwards, sheath diameter 2.8 mm, straight, handle with cleaning connector, working length 8.5 cm",28572GU
SILGRASP� PRO Thread Grasping Forceps,DE,pc,"SILGRASP� PRO Thread Grasping Forceps, straight jaws, sheath diameter 2.8 mm, straight, handle with cleaning connector, working length 8.5 cm",28572NJ
SILCUT� PRO Oval Biter,DE,pc,"SILCUT� PRO Oval Biter, through-cutting, cross-toothed, cutting width 2 mm, straight jaws, sheath diameter 2.5 mm, straight, handle with cleaning connector, working length 8.5 cm",28572O
SILCUT PRO Wide Upbiter,DE,pc,"SILCUT� PRO Wide Upbiter, through-cutting, cross-toothed, cutting width 4.5 mm, jaws curved 15� upwards, also curved in sheath 15� upwards, sheath diameter 3.5 mm, handle with cleaning connector, working length 19 cm",28573BA
SILGRASP Foreign Body Grasper,DE,pc,"SILGRASP� Foreign Body Grasper, aggressive, sheath diameter 4.5 mm, straight, handle with cleaning connector and ratchet, working length 23 cm",28573FD
"Titanium Suture Anchor, � 3 x 9 mm",US,pc,"Titanium Suture Anchor, diameter 3 mm, length 9 mm, with 2 MegaFibre� threads USP 2, pre-assembled, self-tapping, with inserter, sterile, for single use",2870309ST
Handle,DE,pc,"Handle, for use with 2870356 I",2870356HG
Insert and cutting blade,DE,pc,Insert and cutting blade Handle 2070356HG,2870356I
Knot Pusher and Suture Cutter,DE,pc,"Knot Pusher and Suture Cutter, for cutting sutures up to size USP 2, working length 15 cm consisting of: 2870356 I Insert and Blade 2870356 HG Handle",2870356KP
Suture Cutter,DE,pc,Suture Cutter for cutting of sutures up to size USP 2,2870356SC
"Titanium Suture Anchor, 5 mm",US,pc,"Titanium suture anchor diameter 5 mm, length 12.5 mm, with two MegaFibre� sutures USP 2, pre-assembled, self-tapping, with inserter, sterile, for single use",2870514TI
"Titanium Suture Anchor, � 6.5 x 12.5 mm",US,pc,"Titanium Suture Anchor, diameter 6.5 mm, length 12.5 mm, with 2 MegaFibre� sutures USP 2, pre-assembled, self-tapping, with inserter, sterile, for single use",2870614TI
"Mega Fix� B, screw, 6 x 19 mm",DE,pc,"Mega Fix� B, bioresorbable interference screw diameter 6 mm, length 19 mm, sterile",2870619B
"Mega Fix� C, screw, 6 x 19 mm",DE,pc,"Mega Fix� C, bioresorbable composite interference screw, diameter 6 mm, length 19 mm, sterile",2870619C
"Mega Fix� B, screw, 6 x 23 mm",DE,pc,"Mega Fix� B, bioresorbable interference screw diameter 6 mm, length 23 mm, sterile",2870623B
"Mega Fix� C, screw, 6 x 23 mm",DE,pc,"Mega Fix� C, bioresorbable composite interference screw, diameter 6 mm, length 23 mm, sterile",2870623C
"Shim Gauge, size 6",DE,pc,"Shim Gauge, oval, size 6, in the form of MEGASHIM 6x20 2870620 MSP, marking at largest cross section, with strike plate, working length 15 cm, for use with MEGASHIM 6x20 2870620 MSP",28706S
"Mega Fix� B, screw, 7 x 19 mm",DE,pc,"Mega Fix� B, bioresorbable interference screw diameter 7 mm, length 19 mm, sterile",2870719B
"Mega Fix� C, screw, 7 x 19 mm",DE,pc,"Mega Fix� C, bioresorbable composite interference screw, diameter 7 mm, length 19 mm, sterile",2870719C
"Mega Fix� T, screw, 7 x 20 mm",DE,pc,"Mega Fix� T, titanium interference screw diameter 7 mm, length 20 mm, for Cruciate Ligament Reconstruction with Bone-Tendon-Bone Transplant, sterile",2870720T
"Mega Fix� B, screw, 7 x 23 mm",DE,pc,"Mega Fix� B, bioresorbable interference screw diameter 7 mm, length 23 mm, sterile",2870723B
"Mega Fix� C, screw, 7 x 23 mm",DE,pc,"Mega Fix� C, bioresorbable composite interference screw, diameter 7 mm, length 23 mm, sterile",2870723C
"Mega Fix� T, screw, 7 x 23 mm",DE,pc,"Mega Fix� T, titanium interference screw diameter 7 mm, length 23 mm, for Cruciate Ligament Reconstruction with Semitendinosus Transplant, sterile",2870723T
"POWERFIX�, screw,7x25mm,reverse thread",CH,pc,"POWERFIX�, PEEK interference screw reverse thread, diameter 7 mm, length 25 mm, sterile, single use",2870725PL
